District,State,Area_km2,Population,Key
Muzaffarpur,Bihar,"3,172","4,801,062",MuzaffarpurBihar
Mysore,Karnataka,"6,307","3,001,127",MysoreKarnataka
Nabarangapur,Orissa,"5,291","1,220,946",NabarangapurOrissa
Nadia,West Bengal,"3,927","5,167,600",NadiaWest Bengal
Nagaon,Assam,"3,973","2,823,768",NagaonAssam
Nagapattinam,Tamil Nadu,"2,569","1,616,450",NagapattinamTamil Nadu
Nagaur,Rajasthan,"17,718","3,307,743",NagaurRajasthan
Nagpur,Maharashtra,"9,892","4,653,570",NagpurMaharashtra
Nainital,Uttarakhand,"4,251","954,605",NainitalUttarakhand
Nalanda,Bihar,"2,355","2,877,653",NalandaBihar
Nalbari,Assam,"1,052","771,639",NalbariAssam
Nalgonda,Andhra Pradesh,"14,240","3,488,809",NalgondaAndhra Pradesh
Namakkal,Tamil Nadu,"3,420","1,726,601",NamakkalTamil Nadu
Nanded,Maharashtra,"10,528","3,361,292",NandedMaharashtra
Nandurbar,Maharashtra,"5,955","1,648,295",NandurbarMaharashtra
Narayanpur,Chhattisgarh,"4,653","139,820",NarayanpurChhattisgarh
Narmada,Gujarat,"2,817","590,297",NarmadaGujarat
Narsimhapur,Madhya Pradesh,"5,133","1,091,854",NarsimhapurMadhya Pradesh
Nashik,Maharashtra,"15,530","6,107,187",NashikMaharashtra
Navsari,Gujarat,"2,246","1,329,672",NavsariGujarat
Nawada,Bihar,"2,494","2,219,146",NawadaBihar
Nayagarh,Orissa,"3,890","962,789",NayagarhOrissa
Neemuch,Madhya Pradesh,"4,256","826,067",NeemuchMadhya Pradesh
New Delhi,Delhi,35,"142,004",New DelhiDelhi
Nicobars,Andaman And Nicobar Islands,"1,841","36,842",NicobarsAndaman And Nicobar Islands
Nizamabad,Andhra Pradesh,"7,956","2,551,335",NizamabadAndhra Pradesh
North,#N/A,61,"887,978",#N/A
North & Middle Andaman,#N/A,"3,736","105,597",#N/A
North District,#N/A,"4,226","43,709",#N/A
North East,#N/A,62,"2,241,624",#N/A
North Goa,Goa,"1,736","818,008",North GoaGoa
North Tripura,Tripura,"2,036","693,947",North TripuraTripura
North Twenty Four Parganas,West Bengal,"4,094","10,009,781",North Twenty Four ParganasWest Bengal
North West,#N/A,443,"3,656,539",#N/A
Nuapada,Orissa,"3,852","610,382",NuapadaOrissa
Osmanabad,Maharashtra,"7,569","1,657,576",OsmanabadMaharashtra
Pakur,Jharkhand,"1,811","900,422",PakurJharkhand
Palakkad,Kerala,"4,482","2,809,934",PalakkadKerala
Palamu,Jharkhand,"4,393","1,939,869",PalamuJharkhand
Pali,Rajasthan,"12,387","2,037,573",PaliRajasthan
Palwal,Haryana,"1,359","1,042,708",PalwalHaryana
Panchkula,Haryana,898,"561,293",PanchkulaHaryana
Panchmahal,Gujarat,"5,231","2,390,776",PanchmahalGujarat
Panipat,Haryana,"1,268","1,205,437",PanipatHaryana
Panna,Madhya Pradesh,"7,135","1,016,520",PannaMadhya Pradesh
Papum Pare,#N/A,"3,462","176,573",#N/A
Parbhani,Maharashtra,"6,214","1,836,086",ParbhaniMaharashtra
Paschim Medinipur,West Bengal,"9,368","5,913,457",Paschim MedinipurWest Bengal
Pashchim Champaran,Bihar,"5,228","3,935,042",Pashchim ChamparanBihar
Pashchimi Singhbhum,Jharkhand,"7,224","1,502,338",Pashchimi SinghbhumJharkhand
Patan,Gujarat,"5,792","1,343,734",PatanGujarat
Pathanamthitta,Kerala,"2,652","1,197,412",PathanamthittaKerala
Patiala,Punjab,"3,325","1,895,686",PatialaPunjab
Patna,Bihar,"3,202","5,838,465",PatnaBihar
Perambalur,Tamil Nadu,"1,756","565,223",PerambalurTamil Nadu
Peren,Nagaland,"1,651","95,219",PerenNagaland
Phek,Nagaland,"2,026","163,418",PhekNagaland
Pilibhit,Uttar Pradesh,"3,686","2,031,007",PilibhitUttar Pradesh
Pithoragarh,Uttarakhand,"7,090","483,439",PithoragarhUttarakhand
Porbandar,Gujarat,"2,316","585,449",PorbandarGujarat
Prakasam,Andhra Pradesh,"17,626","3,397,448",PrakasamAndhra Pradesh
Pratapgarh,Uttar Pradesh,"4,449","867,848",PratapgarhUttar Pradesh
Pratapgarh,Uttar Pradesh,"3,717","3,209,141",PratapgarhUttar Pradesh
Puducherry,Puducherry,294,"950,289",PuducherryPuducherry
Pudukkottai,Tamil Nadu,"4,644","1,618,345",PudukkottaiTamil Nadu
Pulwama,Jammu and Kashmir,"1,086","560,440",PulwamaJammu and Kashmir
Punch,Jammu and Kashmir,"1,674","476,835",PunchJammu and Kashmir
Pune,Maharashtra,"15,643","9,429,408",PuneMaharashtra
Purba Champaran,#N/A,"3,968","5,099,371",#N/A
Purba Medinipur,West Bengal,"4,713","5,095,875",Purba MedinipurWest Bengal
Purbi Singhbhum,Jharkhand,"3,562","2,293,919",Purbi SinghbhumJharkhand
Puri,Orissa,"3,479","1,698,730",PuriOrissa
Purnia,Bihar,"3,229","3,264,619",PurniaBihar
Puruliya,West Bengal,"6,259","2,930,115",PuruliyaWest Bengal
Rae Bareli,Uttar Pradesh,"4,609","3,405,559",Rae BareliUttar Pradesh
Raichur,Karnataka,"8,442","1,928,812",RaichurKarnataka
Raigarh,Maharashtra,"7,086","1,493,984",RaigarhMaharashtra
Raigarh,Maharashtra,"7,152","2,634,200",RaigarhMaharashtra
Raipur,Chhattisgarh,"12,383","4,063,872",RaipurChhattisgarh
Raisen,Madhya Pradesh,"8,466","1,331,597",RaisenMadhya Pradesh
Rajgarh,Madhya Pradesh,"6,153","1,545,814",RajgarhMadhya Pradesh
Rajkot,Gujarat,"11,198","3,804,558",RajkotGujarat
Rajnandgaon,Chhattisgarh,"8,070","1,537,133",RajnandgaonChhattisgarh
Rajouri,Jammu and Kashmir,"2,630","642,415",RajouriJammu and Kashmir
Rajsamand,Rajasthan,"4,655","1,156,597",RajsamandRajasthan
Ramanagara,Karnataka,"3,516","1,082,636",RamanagaraKarnataka
Ramanathapuram,Tamil Nadu,"4,104","1,353,445",RamanathapuramTamil Nadu
Ramban,Jammu and Kashmir,"1,329","283,713",RambanJammu and Kashmir
Ramgarh,Jharkhand,"1,341","949,443",RamgarhJharkhand
Rampur,Uttar Pradesh,"2,367","2,335,819",RampurUttar Pradesh
Ranchi,Jharkhand,"5,097","2,914,253",RanchiJharkhand
Rangareddy,Andhra Pradesh,"7,493","5,296,741",RangareddyAndhra Pradesh
Ratlam,Madhya Pradesh,"4,861","1,455,069",RatlamMadhya Pradesh
Ratnagiri,Maharashtra,"8,208","1,615,069",RatnagiriMaharashtra
Rayagada,Orissa,"7,073","967,911",RayagadaOrissa
Reasi,Jammu and Kashmir,"1,719","314,667",ReasiJammu and Kashmir
Rewa,Madhya Pradesh,"6,314","2,365,106",RewaMadhya Pradesh
Rewari,Haryana,"1,594","900,332",RewariHaryana
Ribhoi,#N/A,"2,448","258,840",#N/A
Rohtak,Haryana,"1,745","1,061,204",RohtakHaryana
Rohtas,Bihar,"3,881","2,959,918",RohtasBihar
Rudraprayag,Uttarakhand,"1,984","242,285",RudraprayagUttarakhand
Rupnagar,Punjab,"1,356","684,627",RupnagarPunjab
Sabarkantha,Gujarat,"7,394","2,428,589",SabarkanthaGujarat
Sagar,Madhya Pradesh,"10,252","2,378,458",SagarMadhya Pradesh
Saharanpur,Uttar Pradesh,"3,689","3,466,382",SaharanpurUttar Pradesh
Saharsa,Bihar,"1,687","1,900,661",SaharsaBihar
Sahibganj,Jharkhand,"2,063","1,150,567",SahibganjJharkhand
Sahibzada Ajit Singh Nagar,#N/A,"1,094","994,628",#N/A
Saiha,Mizoram,"1,399","56,574",SaihaMizoram
Salem,Tamil Nadu,"5,237","3,482,056",SalemTamil Nadu
Samastipur,Bihar,"2,904","4,261,566",SamastipurBihar
Samba,Jammu and Kashmir,904,"318,898",SambaJammu and Kashmir
Sambalpur,Orissa,"6,624","1,041,099",SambalpurOrissa
Sangli,Maharashtra,"8,572","2,822,143",SangliMaharashtra
Sangrur,Punjab,"3,625","1,655,169",SangrurPunjab
Sant Kabir Nagar,Uttar Pradesh,"1,646","1,715,183",Sant Kabir NagarUttar Pradesh
Sant Ravidas Nagar,Uttar Pradesh,"1,015","1,578,213",Sant Ravidas NagarUttar Pradesh
Saraikela-Kharsawan,#N/A,"2,657","1,065,056",#N/A
Saran,Bihar,"2,641","3,951,862",SaranBihar
Satara,Maharashtra,"10,480","3,003,741",SataraMaharashtra
Satna,Madhya Pradesh,"7,502","2,228,935",SatnaMadhya Pradesh
Sawai Madhopur,Rajasthan,"4,498","1,335,551",Sawai MadhopurRajasthan
Sehore,Madhya Pradesh,"6,578","1,311,332",SehoreMadhya Pradesh
Senapati,Manipur,"3,271","479,148",SenapatiManipur
Seoni,Madhya Pradesh,"8,758","1,379,131",SeoniMadhya Pradesh
Serchhip,Mizoram,"1,421","64,937",SerchhipMizoram
Shahdol,Madhya Pradesh,"6,205","1,066,063",ShahdolMadhya Pradesh
Shahid Bhagat Singh Nagar,Punjab,"1,282","612,310",Shahid Bhagat Singh NagarPunjab
Shahjahanpur,Uttar Pradesh,"4,388","3,006,538",ShahjahanpurUttar Pradesh
Shajapur,Madhya Pradesh,"6,195","1,512,681",ShajapurMadhya Pradesh
Sheikhpura,Bihar,689,"636,342",SheikhpuraBihar
Sheohar,Bihar,349,"656,246",SheoharBihar
Sheopur,Madhya Pradesh,"6,606","687,861",SheopurMadhya Pradesh
Shimla,Himachal Pradesh,"5,131","814,010",ShimlaHimachal Pradesh
Shimoga,Karnataka,"8,478","1,752,753",ShimogaKarnataka
Shivpuri,Madhya Pradesh,"10,066","1,726,050",ShivpuriMadhya Pradesh
Shrawasti,Uttar Pradesh,"1,640","1,117,361",ShrawastiUttar Pradesh
Shupiyan,Jammu and Kashmir,312,"266,215",ShupiyanJammu and Kashmir
Siddharthnagar,#N/A,"2,895","2,559,297",#N/A
Sidhi,Madhya Pradesh,"4,851","1,127,033",SidhiMadhya Pradesh
Sikar,Rajasthan,"7,732","2,677,333",SikarRajasthan
Simdega,Jharkhand,"3,774","599,578",SimdegaJharkhand
Sindhudurg,Maharashtra,"5,207","849,651",SindhudurgMaharashtra
Singrauli,Madhya Pradesh,"5,675","1,178,273",SingrauliMadhya Pradesh
Sirmaur,Himachal Pradesh,"2,825","529,855",SirmaurHimachal Pradesh
Sirohi,Rajasthan,"5,136","1,036,346",SirohiRajasthan
Sirsa,Haryana,"4,277","1,295,189",SirsaHaryana
Sitamarhi,Bihar,"2,294","3,423,574",SitamarhiBihar
Sitapur,Uttar Pradesh,"5,743","4,483,992",SitapurUttar Pradesh
Sivaganga,Tamil Nadu,"4,233","1,339,101",SivagangaTamil Nadu
Sivasagar,Assam,"2,668","1,151,050",SivasagarAssam
Siwan,Bihar,"2,219","3,330,464",SiwanBihar
Solan,Himachal Pradesh,"1,936","580,320",SolanHimachal Pradesh
Solapur,Maharashtra,"14,895","4,317,756",SolapurMaharashtra
Sonbhadra,Uttar Pradesh,"6,905","1,862,559",SonbhadraUttar Pradesh
Sonipat,Haryana,"2,122","1,450,001",SonipatHaryana
Sonitpur,Assam,"5,204","1,924,110",SonitpurAssam
South,#N/A,247,"2,731,929",#N/A
South Andaman,Andaman And Nicobar Islands,"2,672","238,142",South AndamanAndaman And Nicobar Islands
South District,#N/A,750,"146,850",#N/A
South Garo Hills,Meghalaya,"1,887","142,334",South Garo HillsMeghalaya
South Goa,Goa,"1,966","640,537",South GoaGoa
South Tripura,Tripura,"3,057","876,001",South TripuraTripura
South Twenty Four Parganas,West Bengal,"9,960","8,161,961",South Twenty Four ParganasWest Bengal
South West,#N/A,421,"2,292,958",#N/A
Sri Potti Sriramulu Nellore,Andhra Pradesh,"13,076","2,963,557",Sri Potti Sriramulu NelloreAndhra Pradesh
Srikakulam,Andhra Pradesh,"5,837","2,703,114",SrikakulamAndhra Pradesh
Srinagar,Jammu and Kashmir,"1,979","1,236,829",SrinagarJammu and Kashmir
Subarnapur,Orissa,"2,337","610,183",SubarnapurOrissa
Sultanpur,Uttar Pradesh,"4,436","3,797,117",SultanpurUttar Pradesh
Sundargarh,Orissa,"9,712","2,093,437",SundargarhOrissa
Supaul,Bihar,"2,425","2,229,076",SupaulBihar
Surat,Gujarat,"4,549","6,081,322",SuratGujarat
Surendranagar,Gujarat,"10,423","1,756,268",SurendranagarGujarat
Surguja,Chhattisgarh,"15,732","2,359,886",SurgujaChhattisgarh
Tamenglong,Manipur,"4,391","140,651",TamenglongManipur
Tapi,Gujarat,"3,139","807,022",TapiGujarat
Tarn Taran,Punjab,"2,414","1,119,627",Tarn TaranPunjab
Tawang,Arunachal Pradesh,"2,172","49,977",TawangArunachal Pradesh
Tehri Garhwal,Uttarakhand,"3,642","618,931",Tehri GarhwalUttarakhand
Thane,Maharashtra,"9,558","11,060,148",ThaneMaharashtra
Thanjavur,Tamil Nadu,"3,411","2,405,890",ThanjavurTamil Nadu
The Dangs,Gujarat,"1,766","228,291",The DangsGujarat
The Nilgiris,Tamil Nadu,"2,565","735,394",The NilgirisTamil Nadu
Theni,Tamil Nadu,"2,868","1,245,899",TheniTamil Nadu
Thiruvallur,Tamil Nadu,"3,394","3,728,104",ThiruvallurTamil Nadu
Thiruvananthapuram,Kerala,"2,189","3,301,427",ThiruvananthapuramKerala
Thiruvarur,Tamil Nadu,"2,274","1,264,277",ThiruvarurTamil Nadu
Thoothukkudi,Tamil Nadu,"4,745","1,750,176",ThoothukkudiTamil Nadu
Thoubal,Manipur,514,"422,168",ThoubalManipur
Thrissur,Kerala,"3,027","3,121,200",ThrissurKerala
Tikamgarh,Madhya Pradesh,"5,048","1,445,166",TikamgarhMadhya Pradesh
Tinsukia,Assam,"3,790","1,327,929",TinsukiaAssam
Tirap,Arunachal Pradesh,"2,362","111,975",TirapArunachal Pradesh
Tiruchirappalli,Tamil Nadu,"4,509","2,722,290",TiruchirappalliTamil Nadu
Tirunelveli,Tamil Nadu,"6,693","3,077,233",TirunelveliTamil Nadu
Tiruppur,Tamil Nadu,"5,187","2,479,052",TiruppurTamil Nadu
Tiruvannamalai,Tamil Nadu,"6,188","2,464,875",TiruvannamalaiTamil Nadu
Tonk,Rajasthan,"7,194","1,421,326",TonkRajasthan
Tuensang,Nagaland,"2,536","196,596",TuensangNagaland
Tumkur,Karnataka,"10,597","2,678,980",TumkurKarnataka
Udaipur,Rajasthan,"11,724","3,068,420",UdaipurRajasthan
Udalguri,Assam,"2,012","831,668",UdalguriAssam
Udham Singh Nagar,Uttarakhand,"2,542","1,648,902",Udham Singh NagarUttarakhand
Udhampur,Jammu and Kashmir,"2,637","554,985",UdhampurJammu and Kashmir
Udupi,Karnataka,"3,582","1,177,361",UdupiKarnataka
Ujjain,Madhya Pradesh,"6,091","1,986,864",UjjainMadhya Pradesh
Ukhrul,Manipur,"4,544","183,998",UkhrulManipur
Umaria,Madhya Pradesh,"4,076","644,758",UmariaMadhya Pradesh
Una,Himachal Pradesh,"1,540","521,173",UnaHimachal Pradesh
Unnao,Uttar Pradesh,"4,558","3,108,367",UnnaoUttar Pradesh
Upper Siang,Arunachal Pradesh,"6,590","35,320",Upper SiangArunachal Pradesh
Upper Subansiri,Arunachal Pradesh,"7,032","83,448",Upper SubansiriArunachal Pradesh
Uttar Dinajpur,West Bengal,"3,140","3,007,134",Uttar DinajpurWest Bengal
Uttara Kannada,Karnataka,"10,277","1,437,169",Uttara KannadaKarnataka
Uttarkashi,Uttarakhand,"8,016","330,086",UttarkashiUttarakhand
Vadodara,Gujarat,"7,546","4,165,626",VadodaraGujarat
Vaishali,Bihar,"2,036","3,495,021",VaishaliBihar
Valsad,Gujarat,"3,008","1,705,678",ValsadGujarat
Varanasi,Uttar Pradesh,"1,535","3,676,841",VaranasiUttar Pradesh
Vellore,Tamil Nadu,"6,075","3,936,331",VelloreTamil Nadu
Vidisha,Madhya Pradesh,"7,371","1,458,875",VidishaMadhya Pradesh
Viluppuram,Tamil Nadu,"7,194","3,458,873",ViluppuramTamil Nadu
Virudhunagar,Tamil Nadu,"4,241","1,942,288",VirudhunagarTamil Nadu
Visakhapatnam,Andhra Pradesh,"11,161","4,290,589",VisakhapatnamAndhra Pradesh
Vizianagaram,Andhra Pradesh,"6,539","2,344,474",VizianagaramAndhra Pradesh
Warangal,Andhra Pradesh,"12,846","3,512,576",WarangalAndhra Pradesh
Wardha,Maharashtra,"6,309","1,300,774",WardhaMaharashtra
Washim,Maharashtra,"4,898","1,197,160",WashimMaharashtra
Wayanad,Kerala,"2,130","817,420",WayanadKerala
West,#N/A,130,"2,543,243",#N/A
West District,#N/A,"1,166","136,435",#N/A
West Garo Hills,Meghalaya,"3,677","643,291",West Garo HillsMeghalaya
West Godavari,Andhra Pradesh,"7,742","3,936,966",West GodavariAndhra Pradesh
West Kameng,Arunachal Pradesh,"7,422","83,947",West KamengArunachal Pradesh
West Khasi Hills,Meghalaya,"5,247","383,461",West Khasi HillsMeghalaya
West Siang,Arunachal Pradesh,"8,325","112,274",West SiangArunachal Pradesh
West Tripura,Tripura,"2,993","1,725,739",West TripuraTripura
Wokha,Nagaland,"1,628","166,343",WokhaNagaland
Yadgir,Karnataka,"5,270","1,174,271",YadgirKarnataka
Yamunanagar,Haryana,"1,768","1,214,205",YamunanagarHaryana
Yanam,Puducherry,30,"55,626",YanamPuducherry
Yavatmal,Maharashtra,"13,582","2,772,348",YavatmalMaharashtra
YSR,Andhra Pradesh,"15,359","2,882,469",YSRAndhra Pradesh
Zunheboto,Nagaland,"1,255","140,757",ZunhebotoNagaland
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
