District,State,Growth,Sex_Ratio,Literacy,Key
Baghpat,Uttar Pradesh,11.95%,861,72.01,BaghpatUttar Pradesh
Wardha,Maharashtra,5.18%,946,86.99,WardhaMaharashtra
Sirsa,Haryana,15.99%,897,68.82,SirsaHaryana
Katni,Madhya Pradesh,21.41%,952,71.98,KatniMadhya Pradesh
Anugul,Orissa,11.74%,943,77.53,AnugulOrissa
Thiruvarur,Tamil Nadu,8.11%,1017,82.86,ThiruvarurTamil Nadu
Damoh,Madhya Pradesh,16.63%,910,69.73,DamohMadhya Pradesh
Chikkaballapura,Karnataka,9.23%,972,69.76,ChikkaballapuraKarnataka
Kamrup Metropolitan,Assam,18.34%,936,88.71,Kamrup MetropolitanAssam
Theni,Tamil Nadu,13.89%,991,77.26,TheniTamil Nadu
Guna,Madhya Pradesh,26.97%,912,63.23,GunaMadhya Pradesh
Hoshangabad,Madhya Pradesh,14.49%,914,75.29,HoshangabadMadhya Pradesh
Srinagar,Jammu and Kashmir,20.35%,900,69.41,SrinagarJammu and Kashmir
Karimganj,Assam,21.90%,963,78.22,KarimganjAssam
Baran,Rajasthan,19.68%,929,66.66,BaranRajasthan
Lalitpur,Uttar Pradesh,24.94%,906,63.52,LalitpurUttar Pradesh
Nabarangapur,Orissa,19.03%,1019,46.43,NabarangapurOrissa
Yamunanagar,Haryana,16.57%,877,77.99,YamunanagarHaryana
Korba,Chhattisgarh,19.25%,969,72.37,KorbaChhattisgarh
Dhaulpur,Rajasthan,22.71%,846,69.08,DhaulpurRajasthan
Panipat,Haryana,24.60%,864,75.94,PanipatHaryana
Bhandara,Maharashtra,5.65%,982,83.76,BhandaraMaharashtra
Pathanamthitta,Kerala,-2.97%,1132,96.55,PathanamthittaKerala
Washim,Maharashtra,17.34%,930,83.25,WashimMaharashtra
Dhenkanal,Orissa,11.80%,947,78.76,DhenkanalOrissa
Singrauli,Madhya Pradesh,28.05%,920,60.41,SingrauliMadhya Pradesh
Udupi,Karnataka,5.85%,1094,86.24,UdupiKarnataka
Hingoli,Maharashtra,19.27%,942,78.17,HingoliMaharashtra
Yadgir,Karnataka,22.81%,989,51.83,YadgirKarnataka
Rajsamand,Rajasthan,17.18%,990,63.14,RajsamandRajasthan
Sivasagar,Assam,9.44%,954,80.41,SivasagarAssam
Sahibganj,Jharkhand,24.01%,952,52.04,SahibganjJharkhand
Chikmagalur,Karnataka,-0.26%,1008,79.25,ChikmagalurKarnataka
Jagatsinghapur,Orissa,7.50%,968,86.59,JagatsinghapurOrissa
Ambala,Haryana,11.23%,885,81.75,AmbalaHaryana
Sidhi,Madhya Pradesh,23.72%,957,64.43,SidhiMadhya Pradesh
Jehanabad,Bihar,21.68%,922,66.8,JehanabadBihar
Tarn Taran,Punjab,19.23%,900,67.81,Tarn TaranPunjab
Shrawasti,Uttar Pradesh,-5.02%,881,46.74,ShrawastiUttar Pradesh
Bundi,Rajasthan,15.40%,925,61.52,BundiRajasthan
Idukki,Kerala,-1.79%,1006,91.99,IdukkiKerala
Hamirpur,Uttar Pradesh,5.80%,861,68.77,HamirpurUttar Pradesh
Jorhat,Assam,9.31%,962,82.15,JorhatAssam
Narsimhapur,Madhya Pradesh,14.01%,920,75.69,NarsimhapurMadhya Pradesh
Mewat,Haryana,37.93%,907,54.08,MewatHaryana
Ramanagara,Karnataka,5.05%,976,69.22,RamanagaraKarnataka
Anantnag,Jammu and Kashmir,38.58%,927,62.69,AnantnagJammu and Kashmir
Kaithal,Haryana,13.55%,881,69.15,KaithalHaryana
Gadchiroli,Maharashtra,10.58%,982,74.36,GadchiroliMaharashtra
Golaghat,Assam,12.75%,964,77.43,GolaghatAssam
Shahdol,Madhya Pradesh,17.39%,974,66.67,ShahdolMadhya Pradesh
Saraikela Kharsawan,Jharkhand,25.47%,956,67.7,Saraikela KharsawanJharkhand
Gadag,Karnataka,9.54%,982,75.12,GadagKarnataka
Karur,Tamil Nadu,13.77%,1015,75.6,KarurTamil Nadu
Rohtak,Haryana,12.88%,867,80.22,RohtakHaryana
Chandigarh,Chandigarh,17.19%,818,86.05,ChandigarhChandigarh
Mandla,Madhya Pradesh,17.97%,1008,66.87,MandlaMadhya Pradesh
Chatra,Jharkhand,31.77%,953,60.18,ChatraJharkhand
Palwal,Haryana,25.76%,880,69.32,PalwalHaryana
Lakhimpur,Assam,17.22%,968,77.2,LakhimpurAssam
Sambalpur,Orissa,11.27%,976,76.22,SambalpurOrissa
Sirohi,Rajasthan,21.76%,940,55.25,SirohiRajasthan
Mahasamund,Chhattisgarh,20.05%,1017,71.02,MahasamundChhattisgarh
Gumla,Jharkhand,23.16%,993,65.73,GumlaJharkhand
Jhabua,Madhya Pradesh,30.70%,990,43.3,JhabuaMadhya Pradesh
Chamarajanagar,Karnataka,5.73%,993,61.43,ChamarajanagarKarnataka
Panna,Madhya Pradesh,18.67%,905,64.79,PannaMadhya Pradesh
Goalpara,Assam,22.64%,964,67.37,GoalparaAssam
Baramula,Jammu and Kashmir,19.45%,885,64.63,BaramulaJammu and Kashmir
Lakhisarai,Bihar,24.77%,902,62.42,LakhisaraiBihar
Mandi,Himachal Pradesh,10.92%,1007,81.53,MandiHimachal Pradesh
Moga,Punjab,11.28%,893,70.68,MogaPunjab
Mohali,Punjab,33.15%,879,83.8,MohaliPunjab
Chitrakoot,Uttar Pradesh,29.43%,879,65.05,ChitrakootUttar Pradesh
Bangalore Rural,Karnataka,16.45%,946,77.93,Bangalore RuralKarnataka
Rayagada,Orissa,16.46%,1051,49.76,RayagadaOrissa
Kurukshetra,Haryana,16.86%,888,76.31,KurukshetraHaryana
Nayagarh,Orissa,11.37%,915,80.42,NayagarhOrissa
Jhajjar,Haryana,8.90%,862,80.65,JhajjarHaryana
Morigaon,Assam,23.34%,967,68.03,MorigaonAssam
Karbi Anglong,Assam,17.58%,951,69.25,Karbi AnglongAssam
Nainital,Uttarakhand,25.13%,934,83.88,NainitalUttarakhand
Puducherry,Puducherry,29.23%,1029,85.44,PuducherryPuducherry
Baksa,Assam,10.74%,974,69.25,BaksaAssam
Ramgarh,Jharkhand,13.10%,921,73.17,RamgarhJharkhand
Fatehabad,Haryana,16.85%,902,67.92,FatehabadHaryana
Darrang,Assam,22.19%,954,63.08,DarrangAssam
Mahendragarh,Haryana,13.48%,895,77.72,MahendragarhHaryana
Muktsar,Punjab,16.00%,896,65.81,MuktsarPunjab
Pakur,Jharkhand,28.33%,989,48.82,PakurJharkhand
Rewari,Haryana,17.64%,898,80.99,RewariHaryana
North Delhi,Delhi,13.62%,869,86.85,North DelhiDelhi
Kokrajhar,Assam,5.21%,959,65.22,KokrajharAssam
South Tripura,Tripura,14.15%,957,84.66,South TripuraTripura
Mahoba,Uttar Pradesh,23.64%,878,65.27,MahobaUttar Pradesh
Kupwara,Jammu and Kashmir,33.82%,835,64.51,KupwaraJammu and Kashmir
Pratapgarh,Rajasthan,22.78%,983,55.97,PratapgarhRajasthan
Jashpur,Chhattisgarh,14.60%,1005,67.92,JashpurChhattisgarh
Sindhudurg,Maharashtra,-2.21%,1036,85.56,SindhudurgMaharashtra
Ashoknagar,Madhya Pradesh,22.66%,904,66.42,AshoknagarMadhya Pradesh
Udalguri,Assam,9.61%,973,65.41,UdalguriAssam
Neemuch,Madhya Pradesh,13.77%,954,70.8,NeemuchMadhya Pradesh
East Khasi Hills,Meghalaya,24.96%,1011,84.15,East Khasi HillsMeghalaya
Kabirdham,Chhattisgarh,40.71%,996,60.85,KabirdhamChhattisgarh
North Goa,Goa,7.84%,963,89.57,North GoaGoa
Wayanad,Kerala,4.71%,1035,89.03,WayanadKerala
Kapurthala,Punjab,8.04%,912,79.07,KapurthalaPunjab
Shimla,Himachal Pradesh,12.67%,915,83.64,ShimlaHimachal Pradesh
Tapi,Gujarat,12.14%,1007,68.26,TapiGujarat
Dhamtari,Chhattisgarh,13.19%,1010,78.36,DhamtariChhattisgarh
Jamtara,Jharkhand,21.12%,954,64.59,JamtaraJharkhand
Datia,Madhya Pradesh,18.46%,873,72.63,DatiaMadhya Pradesh
Nalbari,Assam,11.99%,949,78.63,NalbariAssam
Mansa,Punjab,11.76%,883,61.83,MansaPunjab
Burhanpur,Madhya Pradesh,19.37%,951,64.36,BurhanpurMadhya Pradesh
Ariyalur,Tamil Nadu,8.54%,1015,71.34,AriyalurTamil Nadu
Badgam,Jammu and Kashmir,24.14%,894,56.08,BadgamJammu and Kashmir
Anuppur,Madhya Pradesh,12.30%,976,67.88,AnuppurMadhya Pradesh
Kanker,Chhattisgarh,15.06%,1006,70.29,KankerChhattisgarh
Bongaigaon,Assam,20.59%,966,69.74,BongaigaonAssam
The Nilgiris,Tamil Nadu,-3.51%,1042,85.2,The NilgirisTamil Nadu
Kandhamal,Orissa,13.10%,1037,64.13,KandhamalOrissa
Alirajpur,Madhya Pradesh,19.45%,1011,36.1,AlirajpurMadhya Pradesh
Latehar,Jharkhand,29.61%,967,59.51,LateharJharkhand
Kodarma,Jharkhand,43.42%,950,66.84,KodarmaJharkhand
Dindori,Madhya Pradesh,21.32%,1002,63.9,DindoriMadhya Pradesh
Arwal,Bihar,18.89%,928,67.43,ArwalBihar
North Tripura,Tripura,17.44%,967,87.5,North TripuraTripura
Sheopur,Madhya Pradesh,22.94%,901,57.43,SheopurMadhya Pradesh
Pauri Garhwal,Uttarakhand,-1.41%,1103,82.02,Pauri GarhwalUttarakhand
Dhemaji,Assam,19.97%,953,72.7,DhemajiAssam
Rupnagar,Punjab,8.87%,915,82.19,RupnagarPunjab
Jaisalmer,Rajasthan,31.81%,852,57.22,JaisalmerRajasthan
Hailakandi,Assam,21.45%,951,74.33,HailakandiAssam
Korea,Chhattisgarh,12.38%,968,70.64,KoreaChhattisgarh
Sheohar,Bihar,27.19%,893,53.78,SheoharBihar
Umaria,Madhya Pradesh,24.96%,950,65.89,UmariaMadhya Pradesh
West Garo Hills,Meghalaya,24.09%,984,67.58,West Garo HillsMeghalaya
Rajouri,Jammu and Kashmir,32.93%,860,68.17,RajouriJammu and Kashmir
South Goa,Goa,8.73%,986,87.59,South GoaGoa
Sheikhpura,Bihar,21.09%,930,63.86,SheikhpuraBihar
Almora,Uttarakhand,-1.28%,1139,80.47,AlmoraUttarakhand
Tehri Garhwal,Uttarakhand,2.35%,1077,76.36,Tehri GarhwalUttarakhand
Faridkot,Punjab,12.09%,890,69.55,FaridkotPunjab
Kathua,Jammu and Kashmir,20.53%,890,73.09,KathuaJammu and Kashmir
Malkangiri,Orissa,21.62%,1020,48.54,MalkangiriOrissa
Shahid Bhagat Singh Nagar,Punjab,4.23%,954,79.78,Shahid Bhagat Singh NagarPunjab
Nuapada,Orissa,15.02%,1021,57.35,NuapadaOrissa
Subarnapur,Orissa,12.61%,960,74.42,SubarnapurOrissa
Fatehgarh Sahib,Punjab,11.46%,871,79.35,Fatehgarh SahibPunjab
Simdega,Jharkhand,16.58%,997,67.99,SimdegaJharkhand
Barnala,Punjab,13.02%,876,67.82,BarnalaPunjab
Narmada,Gujarat,14.75%,961,72.31,NarmadaGujarat
Porbandar,Gujarat,9.06%,950,75.78,PorbandarGujarat
Central Delhi,Delhi,-9.91%,892,85.14,Central DelhiDelhi
Solan,Himachal Pradesh,15.93%,880,83.68,SolanHimachal Pradesh
Jharsuguda,Orissa,13.69%,953,78.86,JharsugudaOrissa
Gajapati,Orissa,11.37%,1043,53.49,GajapatiOrissa
Harda,Madhya Pradesh,20.25%,935,72.5,HardaMadhya Pradesh
Perambalur,Tamil Nadu,14.50%,1003,74.32,PerambalurTamil Nadu
Panchkula,Haryana,19.83%,873,81.88,PanchkulaHaryana
Pulwama,Jammu and Kashmir,27.00%,912,63.48,PulwamaJammu and Kashmir
Udhampur,Jammu and Kashmir,20.78%,870,68.49,UdhampurJammu and Kashmir
Kodagu,Karnataka,1.09%,1019,82.61,KodaguKarnataka
Dantewada,Chhattisgarh,12.08%,1020,42.12,DantewadaChhattisgarh
Khunti,Jharkhand,22.32%,997,63.86,KhuntiJharkhand
Sirmaur,Himachal Pradesh,15.54%,918,78.8,SirmaurHimachal Pradesh
Una,Himachal Pradesh,16.26%,976,86.53,UnaHimachal Pradesh
Chamba,Himachal Pradesh,12.63%,986,72.17,ChambaHimachal Pradesh
Imphal West,Manipur,16.56%,1031,86.08,Imphal WestManipur
Pithoragarh,Uttarakhand,4.58%,1020,82.25,PithoragarhUttarakhand
Chirang,Assam,11.34%,969,63.55,ChirangAssam
Senapati,Manipur,68.94%,937,63.6,SenapatiManipur
Punch,Jammu and Kashmir,27.97%,893,66.74,PunchJammu and Kashmir
Lohardaga,Jharkhand,26.68%,985,67.61,LohardagaJharkhand
Imphal East,Manipur,15.51%,1017,81.95,Imphal EastManipur
Hamirpur,Himachal Pradesh,10.19%,1095,88.15,HamirpurHimachal Pradesh
Baudh,Orissa,18.16%,991,71.61,BaudhOrissa
Kullu,Himachal Pradesh,14.76%,942,79.4,KulluHimachal Pradesh
Kulgam,Jammu and Kashmir,7.73%,951,59.23,KulgamJammu and Kashmir
Thoubal,Manipur,15.94%,1002,74.47,ThoubalManipur
Doda,Jammu and Kashmir,28.00%,919,64.68,DodaJammu and Kashmir
Aizawl,Mizoram,22.92%,1009,97.89,AizawlMizoram
Jaintia Hills,Meghalaya,32.10%,1013,61.64,Jaintia HillsMeghalaya
Bandipora,Jammu and Kashmir,28.65%,889,56.28,BandiporaJammu and Kashmir
Chamoli,Uttarakhand,5.74%,1019,82.65,ChamoliUttarakhand
West Khasi Hills,Meghalaya,29.53%,980,77.87,West Khasi HillsMeghalaya
Bilaspur,Himachal Pradesh,12.05%,981,84.59,BilaspurHimachal Pradesh
Dimapur,Nagaland,127.29%,919,84.79,DimapurNagaland
Dhalai,Tripura,22.85%,944,85.72,DhalaiTripura
Dadra and Nagar Haveli,Dadra and Nagar Haveli,55.88%,774,76.24,Dadra and Nagar HaveliDadra and Nagar Haveli
Uttarkashi,Uttarakhand,11.89%,958,75.81,UttarkashiUttarakhand
Samba,Jammu and Kashmir,17.01%,886,81.41,SambaJammu and Kashmir
East Garo Hills,Meghalaya,26.87%,972,73.95,East Garo HillsMeghalaya
Reasi,Jammu and Kashmir,27.04%,890,58.15,ReasiJammu and Kashmir
Debagarh,Orissa,14.01%,975,72.57,DebagarhOrissa
Ganderbal,Jammu and Kashmir,36.50%,874,58.04,GanderbalJammu and Kashmir
Ramban,Jammu and Kashmir,31.99%,902,54.27,RambanJammu and Kashmir
East Sikkim,Sikkim,15.73%,873,83.85,East SikkimSikkim
Churachandpur,Manipur,20.29%,975,82.78,ChurachandpurManipur
Kohima,Nagaland,131.81%,928,85.23,KohimaNagaland
Shupiyan,Jammu and Kashmir,25.97%,951,60.76,ShupiyanJammu and Kashmir
Bageshwar,Uttarakhand,4.18%,1090,80.01,BageshwarUttarakhand
Champawat,Uttarakhand,15.63%,980,79.83,ChampawatUttarakhand
Ri Bhoi,Meghalaya,34.26%,953,75.67,Ri BhoiMeghalaya
Bijapur,Chhattisgarh,8.78%,984,40.86,BijapurChhattisgarh
Mon,Nagaland,80.36%,899,56.99,MonNagaland
Rudraprayag,Uttarakhand,6.53%,1114,81.3,RudraprayagUttarakhand
South Andaman,Andaman And Nicobar Islands,14.23%,871,89.13,South AndamanAndaman And Nicobar Islands
Bishnupur,Manipur,13.93%,999,75.85,BishnupurManipur
Kishtwar,Jammu and Kashmir,20.88%,920,56.2,KishtwarJammu and Kashmir
The Dangs,Gujarat,22.26%,1006,75.16,The DangsGujarat
Dima Hasao,Assam,13.84%,932,77.54,Dima HasaoAssam
Karaikal,Puducherry,17.23%,1047,87.05,KaraikalPuducherry
Tuensang,Nagaland,94.83%,929,73.08,TuensangNagaland
Mokokchung,Nagaland,60.94%,925,91.62,MokokchungNagaland
Daman,Daman and Diu,67.71%,534,88.07,DamanDaman and Diu
Ukhrul,Manipur,30.70%,943,81.35,UkhrulManipur
Papumpare,Arunachal Pradesh,44.73%,980,79.95,PapumpareArunachal Pradesh
Wokha,Nagaland,98.81%,968,87.69,WokhaNagaland
Phek,Nagaland,111.84%,951,78.05,PhekNagaland
Lunglei,Mizoram,17.64%,947,88.86,LungleiMizoram
Changlang,Arunachal Pradesh,18.18%,926,59.8,ChanglangArunachal Pradesh
South Sikkim,Sikkim,11.65%,915,81.42,South SikkimSikkim
Lohit,Arunachal Pradesh,16.59%,912,68.18,LohitArunachal Pradesh
Chandel,Manipur,21.85%,933,71.11,ChandelManipur
South Garo Hills,Meghalaya,40.95%,945,71.72,South Garo HillsMeghalaya
New Delhi,Delhi,-20.72%,822,88.34,New DelhiDelhi
Kargil,Jammu and Kashmir,18.02%,810,71.34,KargilJammu and Kashmir
Zunheboto,Nagaland,78.05%,976,85.26,ZunhebotoNagaland
Tamenglong,Manipur,26.15%,943,70.05,TamenglongManipur
Narayanpur,Chhattisgarh,19.16%,994,48.62,NarayanpurChhattisgarh
West Sikkim,Sikkim,10.69%,942,77.39,West SikkimSikkim
Leh,Jammu and Kashmir,13.87%,690,77.2,LehJammu and Kashmir
Champhai,Mizoram,16.01%,984,95.91,ChamphaiMizoram
Lawngtlai,Mizoram,60.14%,945,65.88,LawngtlaiMizoram
West Siang,Arunachal Pradesh,8.04%,930,66.46,West SiangArunachal Pradesh
Tirap,Arunachal Pradesh,11.61%,944,52.19,TirapArunachal Pradesh
North And Middle Andaman,Andaman And Nicobar Islands,-0.02%,925,83.91,North And Middle AndamanAndaman And Nicobar Islands
East Siang,Arunachal Pradesh,13.52%,980,72.54,East SiangArunachal Pradesh
Peren,Nagaland,104.15%,915,77.95,PerenNagaland
Kurung Kumey,Arunachal Pradesh,116.56%,1032,48.75,Kurung KumeyArunachal Pradesh
Mamit,Mizoram,37.56%,927,84.93,MamitMizoram
Kinnaur,Himachal Pradesh,7.39%,819,80,KinnaurHimachal Pradesh
Kolasib,Mizoram,27.28%,956,93.5,KolasibMizoram
West Kameng,Arunachal Pradesh,12.53%,819,67.07,West KamengArunachal Pradesh
Upper Subansiri,Arunachal Pradesh,50.78%,998,63.8,Upper SubansiriArunachal Pradesh
Lower Subansiri,Arunachal Pradesh,49.00%,984,74.35,Lower SubansiriArunachal Pradesh
East Kameng,Arunachal Pradesh,37.62%,1029,60.02,East KamengArunachal Pradesh
Kiphire,Nagaland,38.58%,956,69.54,KiphireNagaland
Serchhip,Mizoram,20.56%,977,97.91,SerchhipMizoram
Lakshadweep,Lakshadweep,6.30%,946,91.85,LakshadweepLakshadweep
Saiha,Mizoram,-7.34%,979,90.01,SaihaMizoram
Yanam,Puducherry,77.19%,1038,79.47,YanamPuducherry
Lower Dibang Valley,Arunachal Pradesh,7.20%,928,69.13,Lower Dibang ValleyArunachal Pradesh
Diu,Daman and Diu,17.77%,1031,83.46,DiuDaman and Diu
Longleng,Nagaland,-21.57%,905,72.17,LonglengNagaland
Tawang,Arunachal Pradesh,28.40%,714,59,TawangArunachal Pradesh
North Sikkim,Sikkim,6.53%,767,78.01,North SikkimSikkim
Mahe,Puducherry,13.54%,1184,97.87,MahePuducherry
Nicobars,Andaman And Nicobar Islands,-12.42%,777,78.06,NicobarsAndaman And Nicobar Islands
Upper Siang,Arunachal Pradesh,5.87%,889,59.99,Upper SiangArunachal Pradesh
Lahul and Spiti,Himachal Pradesh,-5.00%,903,76.81,Lahul and SpitiHimachal Pradesh
Anjaw,Arunachal Pradesh,14.19%,839,56.46,AnjawArunachal Pradesh
Dibang Valley,Arunachal Pradesh,10.07%,813,64.1,Dibang ValleyArunachal Pradesh
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
